3437	0.007330
107 	0.006637
1684	0.006377
0   	0.006006
1912	0.003820
3980	0.002668
348 	0.002431
686 	0.002167
414 	0.001935
698 	0.001236
483 	0.001165
3830	0.001156
376 	0.000943
3596	0.000941
828 	0.000906
56  	0.000903
3684	0.000875
428 	0.000852
25  	0.000834
3604	0.000831
1800	0.000821
1888	0.000817
412 	0.000800
1472	0.000784
1352	0.000782
136 	0.000780
252 	0.000768
484 	0.000761
3280	0.000760
2313	0.000757
3756	0.000754
3320	0.000746
1584	0.000743
2047	0.000742
3948	0.000739
896 	0.000733
1768	0.000720
2384	0.000718
304 	0.000715
824 	0.000712
200 	0.000712
322 	0.000710
67  	0.000709
856 	0.000707
3938	0.000701
3116	0.000700
2716	0.000699
3672	0.000693
312 	0.000691
3545	0.000688
271 	0.000686
277 	0.000673
580 	0.000673
1104	0.000666
3584	0.000666
272 	0.000665
1536	0.000665
119 	0.000664
3256	0.000664
500 	0.000660
917 	0.000654
1804	0.000653
188 	0.000652
713 	0.000651
3633	0.000645
475 	0.000644
1612	0.000644
2328	0.000642
1964	0.000639
332 	0.000638
21  	0.000636
3152	0.000635
3521	0.000634
26  	0.000633
3232	0.000632
3968	0.000632
592 	0.000631
1204	0.000631
460 	0.000627
122 	0.000626
1376	0.000624
3291	0.000618
3076	0.000617
2724	0.000617
40  	0.000615
3360	0.000615
637 	0.000614
400 	0.000610
688 	0.000609
3456	0.000606
3060	0.000605
1192	0.000603
705 	0.000602
2951	0.000601
2904	0.000597
3800	0.000597
172 	0.000596
2944	0.000596
724 	0.000595
563 	0.000593
3824	0.000589
3140	0.000589
3448	0.000588
2292	0.000587
517 	0.000586
2543	0.000586
3132	0.000585
544 	0.000581
1184	0.000581
2268	0.000581
2032	0.000581
280 	0.000579
3252	0.000579
805 	0.000578
1736	0.000577
3101	0.000576
3324	0.000574
719 	0.000574
2336	0.000572
3488	0.000569
3804	0.000569
2748	0.000567
239 	0.000566
2960	0.000566
1783	0.000566
1086	0.000566
3172	0.000566
1620	0.000564
2742	0.000563
1604	0.000563
3495	0.000562
1663	0.000562
353 	0.000562
363 	0.000562
436 	0.000561
3397	0.000561
3396	0.000561
2730	0.000560
315 	0.000558
492 	0.000558
1876	0.000558
1516	0.000557
2992	0.000557
3082	0.000556
1504	0.000556
1431	0.000556
3136	0.000556
916 	0.000556
747 	0.000555
3072	0.000555
2828	0.000554
236 	0.000554
2068	0.000554
2839	0.000553
3616	0.000551
456 	0.000551
2956	0.000550
1628	0.000549
1420	0.000549
2928	0.000548
3344	0.000546
1085	0.000545
2800	0.000544
1052	0.000544
3576	0.000542
2072	0.000541
3677	0.000541
1256	0.000540
1730	0.000540
2347	0.000539
3692	0.000539
524 	0.000539
2916	0.000537
2176	0.000537
2863	0.000537
3640	0.000537
1277	0.000536
9   	0.000535
1132	0.000534
1076	0.000534
408 	0.000533
3104	0.000533
3680	0.000533
3838	0.000532
3540	0.000532
3240	0.000531
1596	0.000531
1456	0.000530
3051	0.000529
1488	0.000528
373 	0.000528
3000	0.000527
556 	0.000527
3508	0.000527
320 	0.000527
1032	0.000526
2236	0.000526
3168	0.000526
